id_store,id_product,received_products,sold_products,estimated
1,1,100,100,0
2,2,150,50,0
3,3,80,80,0
4,4,200,190,0
5,5,120,40,0
6,6,60,60,0
7,7,90,85,0
8,8,300,100,0
9,9,110,110,0
10,10,75,20,0
11,11,140,140,0
12,12,50,10,0
13,13,200,200,0
14,14,95,30,0
15,15,85,85,0
16,16,160,50,0
17,17,40,40,0
18,18,65,15,0
19,19,130,130,0
20,20,180,60,0
21,21,90,90,0
22,22,110,45,0
23,23,70,70,0
24,24,220,80,0
25,25,55,55,0
26,26,145,65,0
27,27,105,105,0
28,28,85,25,0
29,29,190,190,0
30,30,135,40,0
31,31,250,250,0
32,32,170,60,0
33,33,120,120,0
34,34,95,35,0
35,35,165,165,0
36,36,210,90,0
37,37,140,140,0
38,38,80,20,0
39,39,115,115,0
40,40,155,55,0
41,41,75,75,0
42,42,105,30,0
43,43,185,185,0
44,44,125,45,0
45,45,90,90,0
46,46,140,60,0
47,47,200,200,0
48,48,110,30,0
49,49,160,160,0
50,50,130,50,0
